PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;8;43;28079008_43_2;2020;10;06;01.37;V;01.37;V;01.37;V;01.38;V;01.44;V;01.48;V;01.49;V;01.57;V;01.61;V;01.69;V;01.76;V;01.82;V;01.68;V;01.69;V;01.48;V;01.38;V;01.35;V;01.34;V;01.34;V;01.34;V;00000;N;00000;N;00000;N;00000;N
28;079;8;44;28079008_44_2;2020;10;06;00.09;V;00.07;V;00.07;V;00.06;V;00.10;V;00.14;V;00.15;V;00.17;V;00.23;V;00.27;V;00.21;V;00.23;V;00.17;V;00.15;V;00.15;V;00.12;V;00.12;V;00.14;V;00.15;V;00.15;V;00000;N;00000;N;00000;N;00000;N
28;079;11;7;28079011_7_8;2020;10;06;00001;V;00002;V;00001;V;00001;V;00001;V;00004;V;00017;V;00079;V;00126;V;00058;V;00075;V;00070;V;00057;V;00032;V;00018;V;00009;V;00008;V;00017;V;00012;V;00011;V;00000;N;00000;N;00000;N;00000;N
28;079;11;8;28079011_8_8;2020;10;06;00012;V;00020;V;00018;V;00011;V;00039;V;00050;V;00057;V;00072;V;00082;V;00064;V;00071;V;00076;V;00074;V;00058;V;00044;V;00025;V;00026;V;00038;V;00036;V;00042;V;00000;N;00000;N;00000;N;00000;N
28;079;11;12;28079011_12_8;2020;10;06;00013;V;00023;V;00019;V;00012;V;00041;V;00056;V;00083;V;00193;V;00276;V;00153;V;00186;V;00184;V;00162;V;00107;V;00072;V;00038;V;00038;V;00065;V;00054;V;00059;V;00000;N;00000;N;00000;N;00000;N
28;079;11;20;28079011_20_59;2020;10;06;000.6;V;000.5;V;000.8;V;000.4;V;000.7;V;000.9;V;002.1;V;002.5;V;003.8;V;002.2;V;002.5;V;003.7;V;004.7;V;002.4;V;002.0;V;001.2;V;000.5;V;000.7;V;000.9;V;001.0;V;00000;N;00000;N;00000;N;00000;N
28;079;11;30;28079011_30_59;2020;10;06;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;000.4;V;000.8;V;000.6;V;000.4;V;000.6;V;000.6;V;000.4;V;000.3;V;000.3;V;000.1;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;11;35;28079011_35_59;2020;10;06;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.3;V;000.2;V;000.2;V;000.3;V;000.4;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N
28;079;16;6;28079016_6_48;2020;10;06;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.4;V;000.5;V;000.4;V;000.4;V;000.5;V;000.7;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;16;7;28079016_7_8;2020;10;06;00001;V;00001;V;00001;V;00005;V;00007;V;00002;V;00008;V;00061;V;00054;V;00089;V;00069;V;00054;V;00053;V;00033;V;00020;V;00005;V;00005;V;00009;V;00006;V;00004;V;00000;N;00000;N;00000;N;00000;N
28;079;16;8;28079016_8_8;2020;10;06;00022;V;00021;V;00023;V;00033;V;00048;V;00043;V;00046;V;00060;V;00058;V;00065;V;00063;V;00060;V;00067;V;00050;V;00040;V;00015;V;00017;V;00022;V;00024;V;00031;V;00000;N;00000;N;00000;N;00000;N
